河南央卫,#genre#
安徽卫视,http://110.80.17.38:9901/tsfile/live/0130_2.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://110.80.17.38:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://110.80.17.38:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://110.80.17.38:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://110.80.17.38:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://110.80.17.38:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://110.80.17.38:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://110.80.17.38:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://110.80.17.38:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://110.80.17.38:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://110.80.17.38:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://110.80.17.38:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://110.80.17.38:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://110.80.17.38:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://110.80.17.38:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://110.80.17.38:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0



湖北央卫,#genre#

CCTV1,http://116.141.46.135:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv2,http://116.141.46.135:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
cctv3,http://116.141.46.135:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
cctv4,http://116.141.46.135:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
cctv5,http://116.141.46.135:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
cctv5+,http://116.141.46.135:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
cctv6,http://116.141.46.135:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
cctv7,http://116.141.46.135:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
cctv8,http://116.141.46.135:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
cctv9,http://116.141.46.135:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
cctv10,http://116.141.46.135:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
cctv11,http://116.141.46.135:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
cctv12,http://116.141.46.135:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
cctv13,http://116.141.46.135:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
cctv14,http://116.141.46.135:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
cctv15,http://116.141.46.135:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
cctv16,http://116.141.46.135:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
cctv17,http://116.141.46.135:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://116.141.46.135:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉视都市,http://116.141.46.135:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
吉视乡村,http://116.141.46.135:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
吉视公共,http://116.141.46.135:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
吉视综艺,http://116.141.46.135:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
